RA,Fase,Turma,Nome,Ano nasc,Idade 22,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,Atingiu PV,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV
RA-17,7,D,Aluno-17,2002,20,Menino,2022,Escola Pública,,,Topázio,8.068,125,2,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.8,9.0,6.5,,Sim,Não,8.292,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-18,7,D,Aluno-18,2003,19,Menino,2022,Escola Pública,,,Ametista,7.226,418,7,5,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,6.3,8.7,6.3,Requer avaliação,9.0,9.0,9.0,,Sim,Não,6.875,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-19,7,D,Aluno-19,2003,19,Menina,2022,Escola Pública,,,Ametista,7.665,248,4,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,9.5,7.5,Sem limitações,8.0,7.0,9.0,,Sim,Não,7.0,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-20,7,D,Aluno-20,2003,19,Menina,2022,Escola Pública,,,Ametista,7.535,296,5,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.1,10.0,6.3,Não atendido,7.8,9.0,6.5,,Sim,Não,7.167,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-21,7,D,Aluno-21,2004,18,Menino,2022,Escola Pública,,,Ágata,6.945,508,9,6,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.6,9.2,7.5,Não atendido,3.8,7.0,0.5,,Sim,Não,7.25,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-22,6,A,Aluno-22,2005,17,Menina,2019,Rede Decisão,Ametista,Ágata,Ametista,7.474,327,10,10,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,8.3,7.4,8.1,Sem limitações,6.7,9.0,3.1,7.8,Não,Sim,8.833,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-23,6,A,Aluno-23,2005,17,Menino,2021,Escola Pública,,Ametista,Ametista,7.677,243,8,8,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.2,8.1,Sem limitações,6.7,7.2,4.7,8.2,Sim,Sim,8.556,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-24,6,A,Aluno-24,2005,17,Menina,2021,Rede Decisão,,Topázio,Topázio,8.087,119,5,5,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,7.9,6.9,Requer avaliação,8.6,10.0,6.3,9.7,Não,Sim,9.111,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-25,6,A,Aluno-25,2005,17,Menina,2021,Escola Pública,,Topázio,Ametista,7.979,147,6,6,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.3,8.8,Sem limitações,6.9,9.2,3.8,7.7,Sim,Sim,9.667,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-26,6,A,Aluno-26,2005,17,Menino,2022,Escola Pública,,,Topázio,8.677,17,3,3,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.6,8.8,10.0,Sem limitações,8.0,9.5,4.4,10.0,Sim,Sim,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-27,6,A,Aluno-27,2005,17,Menino,2016,Rede Decisão,Topázio,Ametista,Ametista,7.124,449,12,12,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.6,8.1,Sem limitações,8.0,7.7,6.3,10.0,Não,Sim,9.111,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-28,6,A,Aluno-28,2005,17,Menina,2019,Escola Pública,Ametista,Ametista,Ágata,6.242,698,14,14,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.9,6.1,7.5,Requer avaliação,5.0,8.2,1.5,5.3,Não,Não,6.333,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-29,6,A,Aluno-29,2005,17,Menino,2022,Escola Pública,,,Quartzo,4.985,821,16,16,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,0.0,4.0,8.8,Requer avaliação,3.7,6.3,1.1,3.8,Sim,Não,7.611,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-30,6,A,Aluno-30,2006,16,Menina,2021,Escola Pública,,Ametista,Ametista,7.605,270,9,9,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,6.4,7.5,Sem limitações,7.5,8.5,4.4,9.7,Não,Não,7.333,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-31,6,A,Aluno-31,2005,17,Menina,2019,Rede Decisão,Topázio,Topázio,Topázio,8.843,9,2,2,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.5,9.4,Sem limitações,8.0,9.0,5.7,9.3,Não,Sim,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-32,6,A,Aluno-32,2006,16,Menina,2018,Rede Decisão,Ametista,Ametista,Ametista,7.37,370,11,11,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,8.8,5.2,8.8,Sem limitações,6.1,5.7,3.6,8.9,Não,Não,7.944,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-33,6,A,Aluno-33,2005,17,Menina,2020,Escola Pública,Ágata,Ametista,Quartzo,4.952,824,17,17,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,0.0,4.6,7.5,Sem limitações,4.8,9.0,1.6,3.7,Não,Não,6.0,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-34,6,A,Aluno-34,2005,17,Menino,2016,Rede Decisão,Ametista,Ametista,Ágata,6.259,692,13,13,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.6,4.8,8.1,Sem limitações,3.8,4.7,4.0,2.8,Não,Não,7.278,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-35,6,A,Aluno-35,2005,17,Menina,2019,Rede Decisão,Ametista,Topázio,Topázio,8.965,5,1,1,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.6,9.4,Sem limitações,8.5,9.0,7.1,9.3,Não,Sim,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-36,6,A,Aluno-36,2005,17,Menina,2019,Rede Decisão,Topázio,Ametista,Ametista,7.876,177,7,7,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.0,6.9,Sem limitações,6.8,8.5,4.3,7.8,Não,Sim,8.944,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-37,6,A,Aluno-37,2005,17,Menina,2019,Rede Decisão,Ametista,Ágata,Quartzo,4.95,825,18,18,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,0.0,5.4,5.0,Sem limitações,5.9,2.3,5.3,10.0,Não,Não,5.222,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-38,6,A,Aluno-38,2005,17,Menina,2017,Rede Decisão,Ametista,Ametista,Topázio,8.523,31,4,4,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.9,7.5,Não indicado,8.6,9.0,7.0,9.7,Não,Sim,9.833,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-39,6,A,Aluno-39,2006,16,Menina,2017,Rede Decisão,Ametista,Ametista,Ágata,6.033,722,15,15,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,0.0,4.8,6.9,Requer avaliação,6.9,7.7,5.1,7.8,Não,Não,6.111,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-40,5,A,Aluno-40,2006,16,Menina,2016,Rede Decisão,Ametista,Ágata,Ametista,7.203,429,27,3,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,7.9,7.8,7.5,Sem limitações,6.8,4.7,7.3,8.4,Não,Não,7.75,5.0,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-41,5,A,Aluno-41,2005,17,Menino,2018,Escola Pública,Ágata,Ágata,Quartzo,5.581,777,51,9,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,9.2,6.1,5.0,Requer avaliação,5.6,6.3,2.5,8.0,Não,Não,4.375,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-42,5,A,Aluno-42,2007,15,Menino,2019,Rede Decisão,Topázio,Ametista,Ágata,6.72,582,33,5,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase,Avaliador-31,,8.3,7.9,5.6,Requer avaliação,4.8,3.7,4.5,6.2,Não,Não,6.083,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-43,5,A,Aluno-43,2006,16,Menina,2019,Escola Pública,Ametista,Ágata,Quartzo,5.486,791,54,11,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Alocado em Fase anterior,Avaliador-31,,6.3,6.5,5.6,Requer avaliação,4.3,4.0,5.8,3.2,Não,Não,5.958,5.0,Fase 6 (2º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-44,5,A,Aluno-44,2005,17,Menina,2021,Escola Pública,,Ametista,Quartzo,5.542,785,52,10,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,,5.0,5.9,7.5,Sem limitações,3.0,2.3,3.5,3.2,Sim,Não,7.292,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-45,5,A,Aluno-45,2007,15,Menina,2019,Rede Decisão,Ametista,Topázio,Ametista,7.591,277,17,2,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,7.9,8.9,5.6,Requer avaliação,6.8,6.3,5.2,8.8,Não,Não,7.417,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-46,5,A,Aluno-46,2005,17,Menina,2022,Escola Pública,,,Ágata,6.048,719,46,7,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,8.8,8.4,6.3,Sem limitações,2.1,2.8,2.8,0.7,Não,Não,7.083,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-47,5,A,Aluno-47,2005,17,Menina,2022,Escola Pública,,,Quartzo,5.677,762,49,8,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,7.9,6.3,7.5,Sem limitações,2.1,2.5,2.2,1.5,Não,Não,7.042,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-48,5,A,Aluno-48,2007,15,Menina,2017,Rede Decisão,Ametista,Ametista,Ametista,8.006,140,10,1,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,6.7,8.4,7.5,Sem limitações,8.1,6.7,8.0,9.5,Não,Sim,8.5,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
